split,index,label,text_preview,response,analysis
train,1824,1,Angelina Jolie's honeytrap plot to seize Uganda's Kony Joseph Kony is a...,No,no
train,409,0,Miley Cyrus - Younger Now Lyrics and Tracklist About “Younger Now” Younger...,No,no
train,4506,0,Robert Buckley and Jenny Wade announce marriage iZombie star Robert Buckley...,No,no
train,4012,0,Jordin Sparks Shows Off Baby Bump in a Bikini on Cancun Babymoon Jordin...,No,no
train,3657,0,Kim Zolciak Pens Heartfelt Tribute to Husband Kroy Biermann After Their Son...,No,no
train,2286,0,Victoria Beckham shows daughter Harper playing with mum's Spice Girls dolls -...,No,no
train,1679,0,"Mexican Stars, Eiza Gonzalez and Eugenio Derbez, Celebrate Being Named Oscar...",No,no
train,8935,0,Daytime Emmy Awards 2018 Red Carpet Fashion: See All the Stars in Their Glam...,No,no
train,1424,1,Harry Styles' Style Icon? Shania Twain! Harry Styles has a unique sense of...,No,no
train,9674,0,"Sharon, Ozzy Osbourne renew wedding vows one year after brief split A year...",No,no
train,6912,0,Topher Grace Is a Dad! Actor and Wife Ashley Hinshaw Welcome Daughter Mabel...,No,no
train,520,1,Oops! Savannah Guthrie Apologizes After Accidentally Swearing on the Today...,No,no
train,488,0,Serena Williams reveals her official return to tennis: 'The comeback is here'...,No,no
train,1535,0,Emma Stone and Andrew Garfield Reunited at the Governors Awards Your...,No,no
train,3582,0,Android Users Can Secretly Save Any Snapchat Video Forever I'm not a bad guy...,No,no
train,3811,0,"Yup, You Can Buy Clothes Worn by Dorinda Medley, Ramona Singer, and Carole...",No,no
train,8279,0,MIRANDA LAMBERT TOPS THE LIST OF FINALISTS FOR “THE 51st ANNUAL CMA AWARDS”...,No,no
train,9863,0,Madonna Covers Britney Spears' 'Toxic' -- Listen! The Queen of Pop is bowing...,No,no
train,434,0,SAG Awards 2018 In Memoriam Honors David Cassidy Late film and television...,No,no
train,9195,0,Pretty Little Liars (season 7) The seventh and final season of the American...,No,no
train,3257,0,Vin Diesel Announces 'Fast & Furious' Live Tour Fast & Furious is going...,No,no
train,8928,0,United Airlines kills another pet GULLIVER recently wrote about a pet that...,No,no
train,6873,0,Was Harry Potter a Jock or a Nerd? Fans Are Divided Over This Theory. “Harry...,No,no
train,3611,1,Christina El Moussa Is Answering All Your Flip or Flop Questions To finish...,No,no
train,7359,0,$58K GoFundMe Page for Bullied Teen Keaton Jones Suspended Amid Backlash...,No,no
train,9654,0,Revenge star Ashley Madekwe shows off legs in cut-off vintage denim hotpants...,No,no
train,4557,1,'ye' could be Kanye West's most important album UPDATE: This article...,No,no
train,106,0,Nick Jonas Gets An Adorable Surprise At The AMAs Nick Jonas got the cutest...,Yes,yes
train,2615,1,Iggy Azeala’s Warning To Khloe Kardashian: Tristan Thompson Will Cheat On You...,No,no
train,6924,0,Halsey Is The New Face of YSL Beauté & She's Rewriting The Brand Ambassador...,No,no
train,5574,0,Sarah Jessica Parker reflects on Sex and the City’s 20th anniversary The...,No,no
train,4552,0,"Mandy Moore Just Climbed Mount Kilimanjaro, and the Photos Are Breathtaking...",No,no
train,2547,1,Kristen Stewart kisses model girlfriend Stella Maxwell at Coachella Kristen...,No,no
train,3527,0,Khloé Kardashian Gets Real About Post-Baby Weight: ‘I’m The Queen Of Yo-...,No,no
train,5514,1,"Oscars: ABC Apologizes for Naming Amy Adams, Tom Hanks as Nominees – Variety...",No,no
train,1674,1,"Celebrities React: Nelsan Ellis Dead At 39 Nelsan Ellis is dead. The actor,...",No,no
train,1519,0,Royal Christmas Card: George and Charlotte's Outfit Details Prince George is...,No,no
train,6224,0,Dancing with the Stars (U.S. season 25) season of television series Season...,No,no
train,1584,0,"""Failure Is Mandatory"": Dave Annable Shares Pain of Being Recast on CBS' 'The...",No,no
train,5881,0,"Camila Cabello, Jimmy Fallon and The Roots Perform ""Havana"" on Classroom...",No,no
train,5635,0,Larry Nassar American serial child sexual abuser and physician Lawrence...,No,no
train,9891,0,Jesse Williams and Reporter Taylor Rooks Have Strip Club Date Night Nipsey...,No,no
train,4333,0,15 Nostalgic Fashion Brands That Are Making A Comeback In 2017 Remember how...,No,no
train,711,0,"Total Divas Season Finale Recap (5/10): Eva Marie's Suspension, Brie's...",No,no
train,7527,1,Vanessa Hudgens Addresses Speculation She's Engaged to Austin Butler Not so...,No,no
train,8785,1,Caitlyn Jenner Uses Tristan Thompson To See Baby True Behind Khloe...,No,no
train,2045,0,Kim Kardashian slammed for 'ridiculous' bikini Instagram: 'You should be...,No,no
train,6201,0,SAG Awards Top Moments: Why Was Natalie Portman's Acceptance Speech Censored?...,No,no
train,1291,0,"M&M's three new peanut-based flavors have arrived: Toffee, jalapeno and...",Yes,yes
train,9044,0,Defenders (comics) The Defenders are a set of fictional superhero groups with...,Yes,yes
train,4803,0,Bridget Marquardt hasn’t seen Hugh Hefner in years Click to email this to a...,No,no
train,5925,0,Julia Roberts Just Turned 50 And Says The Key To Joy Is To “Marry The Right...,No,no
train,9459,0,Rose McGowan Slams Actresses' Plans to Wear Black at Golden Globes to Protest...,No,no
train,3150,0,Bachelor Alum Charlie O'Connell and Playboy Playmate Anna Sophia Berglund Are...,No,no
train,1139,0,Jeremy and Melissa Meeks' Divorce a Done Deal Jeremy Meeks Divorce from...,No,no
train,750,0,"Kim Kardashian, Jonathan Cheban Are Sonny and Cher for Halloween I got you,...",No,no
train,3733,0,25 Easter Eggs You'll Want to Find Inside Disney's New 'Guardians of the...,No,no
train,4741,0,Kendall Jenner was 'hospitalized before Vanity Fair Oscars Party' Kendall...,No,no
train,1307,0,Kendall Jenner and Blake Griffin a Enjoy Sweet Sushi Date in Beverly Hills...,No,no
train,3814,1,Kate Middleton Is “Less than Pleased” with Prince William’s Ski-Trip Behavior...,No,no
train,1654,0,How Emma Roberts Wears Pastels Without Looking Like an Easter Egg Here’s the...,No,no
train,6227,0,How CBS All Access Landed Jordan Peele for Its ‘Twilight Zone’ Reboot CBS All...,No,no
train,4554,0,'Dirty Dancing': How the TV Remake Compares to the Original Nobody puts Baby...,No,no
train,7428,1,Prince William and Kate Middleton May Not Live at Kensington Palace Forever...,No,no
train,5977,0,Deleted ‘Game of Thrones’ Finale Scene Would’ve Explained a Big Twist The...,No,no
train,2664,1,Rande Gerber Net Worth Rande Gerber net worth: Rande Gerber is an American...,No,no
train,6065,1,Selena Gomez Vogue Cover Story: See Interview Highlights! Selena On Going To...,No,no
train,5820,0,Cute & Surprisingly Sexy Halloween Costumes Landing on a crowd-pleasing...,No,no
train,3432,0,EXCLUSIVE: 'Riverdale' Boss Reveals Why [SPOILER] Killed Jason Blossom and...,No,no
train,4374,0,Twilight fandom Twilight fandom is the community of fans of the Twilight...,No,no
train,1169,0,Luann D'Agostino and Tom D'Agostino Shut Down More Gossip About Their...,No,no
train,2803,0,Dancing with the Stars Recap: Terrell Owens Goes Home After Sexy Rumba Trio...,No,no
train,8751,1,That '70s Show That '70s Show is an American television period sitcom that...,Yes,yes
train,4010,0,Zayn Malik Speaks Out in Revealing Billboard Cover Story: 'I'm Not Censoring...,Yes,yes
train,2677,0,Meet the man who deactivated Trump’s Twitter account – TechCrunch As Twitter...,No,no
train,7573,1,Boy George Pays Justin Bieber a ‘Beautiful’ Backhanded Compliment New York...,No,no
train,6216,0,Eliza Dushku Says She Wasn’t Invited to ‘Buffy’ Reunion Where was Faith?...,No,no
train,4422,0,‘Manifest’: NBC Orders 3 Additional Episodes for a 16-Episode First Season 0...,No,no
train,9125,0,"‘Big Little Lies’ Reese Witherspoon: “Time Is Up, We Will Tell Your Stories”...",No,no
train,3598,0,Say goodbye to 'House of Cards' and hello to a new Netflix era CLOSE From the...,No,no
train,5313,1,Katie Holmes Pushing Jamie Foxx To Go More Public With Their Relationship —...,No,no
train,916,0,Hank Azaria 'willing to step aside' as voice of Apu on The Simpsons Hank...,No,no
train,3752,0,John Legend explains meaning behind son’s name Click to email this to a...,No,no
train,525,0,Everything You Need to Know About Xscape A refresher on one of the most...,No,no
train,5168,0,"Kára McCullough Kára Deidra McCullough (born September 9, 1991) is an...",No,no
train,6572,0,Rick Springfield Says He Recently Considered Suicide in New Interview Rick...,No,no
train,4386,1,"Brad Pitt Didn’t Celebrate Kids’ Custody Arrangement With Jennifer Aniston,...",No,no
train,1084,0,Naya Rivera refiles for divorce from Ryan Dorsey after domestic battery...,No,no
train,3456,0,"Leonardo DiCaprio and Nina Agdal Split: Inside Their Yearlong, Globe-Trotting...",No,no
train,9292,0,The Rock praises boy who saved drowning brother with help from San Andreas...,No,no
train,5155,0,"Taylor Swift performs new 'Reputation' song, 'New Year's Day,' for fans at...",No,no
train,3483,0,All the Celebrity Breakups of 2018 — So Far Rap’s power couple called it...,No,no
train,8179,0,"Stacy London On Her Year Of Going Broke Without a job to go to, and with a...",No,no
