split,index,label,text_preview,response,analysis
train,327,0,Children - Obama for America TV Ad 自動再生 自動再生を有効にすると、関連動画が自動的に再生されます。 次の動画,No,no
train,57,1,And we pay her a salary!.... - Judge Jeanine Pirro has Fans 移動: このメニューを開くには、...,No,no
train,12,0,Remarks by the President in Twitter Town Hall 2:04 P.M. EDT MR. DORSEY: Good...,No,no
train,140,0,Opinion | A Senate in the Gun Lobby’s Grip WASHINGTON SENATORS say they fear...,No,no
train,125,1,Pro-Lifers Declare “Ejaculation Is Murder: Every Sperm Cell Is A Life” The...,No,no
train,114,0,Keeping His Word: Lowering the Cost of Medicare Prescriptions 自動再生...,No,no
train,71,0,S.1591 - 104th Congress (1995-1996): A bill to prohibit campaign expenditures...,No,no
train,52,0,"McCAIN, John Sidney, III McCAIN, John Sidney, III, (1936 - 2018) Senate Years...",No,no
train,346,0,"Ryan's plan includes $700 billion in Medicare ""cuts,"" says Stephanie Cutter...",No,no
train,279,0,Already a lost decade: Working-age household income down more than 10% since...,No,no
train,44,0,"McCain spoke up early ""John McCain stood up to the president and sounded the...",No,no
train,302,0,"Budget of the United States Government, FY 2008 THE NATION’S FISCAL OUTLOOK...",No,no
train,216,1,UPDATE: Malia Obama Among 10 Arrested In Racist Antifa Attack You are...,No,no
train,16,0,YouTube YouTube をでご覧いただいています。 この設定は下で変更 できます。,No,no
train,15,0,'This Week' Transcript: Gen. Jim Jones (Ret.) AMANPOUR: This week -- furious...,No,no
train,47,0,Rising to a New Generation of Global Challenges Rising to a New Generation of...,No,no
train,111,1,10 Things You Didn't Know About Nancy Pelosi (Jim Lo Scalzo for USN&WR) 1....,No,no
train,119,0,"Sec. John Kelly on Manchester investigation, keeping America safe This is a...",No,no
train,258,0,"In reversal, McCain says lift ban on offshore drilling Fill out this form to...",No,no
train,308,0,Barack Obama says U.S. oil production last year was highest since 2003 In his...,No,no
train,13,1,Family's private investigator: There is evidence Seth Rich had contact with...,No,no
train,287,0,Memorial Day 自動再生 自動再生を有効にすると、関連動画が自動的に再生されます。 次の動画,No,no
